0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30,30,0,0,0,0,0,30,0,40,0,0,0,0,0,40,40,0,0,39,0,3,2,24,74,3,2,20,0,6,0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,0,0,19,0,3,2,24,74,3,2,20,0
1,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,24,74,-3,-2,19,0,0,0,20,0,8,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,0,74,-3,-2,19,0,0,0,20,12
2,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,20,12,-3,-2,19,0,0,0,0,74,5,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,10,22,-3,-2,19,0,0,0,0,74
3,0,40,0,0,0,0,0,40,40,50,0,0,0,0,0,50,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,-100,-100,-100,0,-2,-1,0,74,6,0,40,0,0,0,0,0,40,40,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,57,0,-100,-100,-100,0,-2,-1,0,74
0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,0,0,19,0,3,2,0,74,3,2,10,22,2,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,50,0,0,18,0,2,2,0,74,2,2,10,22
2,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,40,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,10,22,-2,-2,18,0,0,0,0,74,4,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,0,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,50,22,-2,-2,18,0,0,0,0,74
3,0,40,0,0,0,0,0,40,0,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,57,0,-100,-100,-100,0,-2,-1,0,74,2,40,0,0,0,0,0,0,0,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-100,-100,-100,0,-3,-1,0,74
0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,0,50,0,0,18,0,2,2,0,74,2,2,50,22,2,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,0,50,10,0,0,17,0,1,2,0,74,1,2,50,22
2,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,0,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,50,22,-1,-2,17,0,0,0,0,74,2,40,30,0,0,0,0,0,30,0,40,0,0,0,0,0,40,0,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,0,49,22,-2,-2,17,0,-1,0,0,74
3,40,0,0,0,0,0,0,0,50,10,0,0,0,0,50,20,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,-100,-100,-100,0,-3,-1,0,74,6,40,0,0,0,0,0,0,0,50,10,10,0,0,0,50,20,30,20,10,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,-100,-100,-100,0,-3,-1,0,74
0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,0,50,10,0,0,17,0,1,2,0,74,2,2,49,22,5,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,0,0,0,0,0,40,0,50,10,0,0,9,8,1,2,0,74,2,2,49,22
2,40,30,0,0,0,0,0,30,0,40,0,0,0,0,0,40,0,50,10,10,0,0,0,50,20,30,20,10,0,0,0,10,10,10,0,0,0,49,22,-2,-2,9,8,-1,0,0,74,6,40,30,0,0,0,0,0,30,0,40,10,0,0,0,0,40,10,60,20,10,0,0,0,50,30,30,20,10,0,0,0,10,10,10,0,0,0,29,22,-2,-2,9,8,-1,0,0,74
3,40,10,0,0,0,0,0,10,60,20,10,0,0,0,50,30,30,20,10,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,-100,-100,-100,8,-3,-1,0,74,6,40,10,0,0,0,0,0,10,60,20,20,0,0,0,50,30,40,30,20,0,0,0,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,16,0,-100,-100,-100,8,-3,-1,0,74
0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,10,0,0,0,0,40,10,60,20,0,0,9,8,1,2,0,74,2,2,29,22,5,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,10,0,0,0,0,40,10,60,20,0,0,5,12,1,2,0,74,2,2,29,22
2,40,30,0,0,0,0,0,30,0,40,10,0,0,0,0,40,10,60,20,20,0,0,0,50,30,40,30,20,0,0,0,10,10,20,0,0,0,29,22,-2,-2,5,12,-1,0,0,74,1,30,0,0,0,0,0,0,40,30,0,0,0,0,0,30,0,40,10,0,0,0,0,40,10,60,20,20,0,0,0,50,30,40,30,20,0,0,28,22,-2,-1,5,12,-1,1,0,74
3,40,10,0,0,0,0,0,10,60,20,20,0,0,0,50,30,40,30,20,0,0,0,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,16,0,-100,-100,-100,12,-3,-1,0,74,3,0,40,10,0,0,0,0,40,10,60,20,20,0,0,0,50,30,40,30,20,0,0,0,10,10,20,0,0,0,0,0,0,0,0,0,0,0,15,0,-100,-100,-100,12,-2,-1,0,74
0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,10,0,0,0,0,40,10,60,20,0,0,5,12,1,2,0,74,2,1,28,22,5,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,10,0,0,0,0,40,10,60,20,0,0,3,14,1,2,0,74,2,1,28,22
2,30,0,0,0,0,0,0,40,30,0,0,0,0,0,30,0,40,10,0,0,0,0,40,10,60,20,20,0,0,0,50,30,40,30,20,0,0,28,22,-2,-1,3,14,-1,1,0,74,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,40,30,0,0,0,0,0,30,0,40,10,0,0,0,0,40,10,60,20,20,0,0,0,27,22,-2,0,3,14,-1,2,0,74
3,0,40,10,0,0,0,0,40,10,60,20,20,0,0,0,50,30,40,30,20,0,0,0,10,10,20,0,0,0,0,0,0,0,0,0,0,0,15,0,-100,-100,-100,14,-2,-1,0,74,2,40,10,0,0,0,0,0,10,60,20,20,0,0,0,50,30,40,30,20,0,0,0,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,14,0,-100,-100,-100,14,-3,-1,0,74
0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,10,0,0,0,0,40,10,60,20,0,0,3,14,1,2,0,74,2,0,27,22,5,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,40,40,30,0,0,0,0,10,30,0,40,10,0,0,0,0,40,10,60,20,0,0,2,15,1,2,0,74,2,0,27,22
